City,Country,Place to Visit,Emotion 1,Emotion 2,Emotion 3,Emotion 4,Emotion 5,Lat,Lon,Expense/Day,Description,IMAGE
Paris,France,Eiffel Tower,Happy,Proud,Surprised,Peaceful,In Awe,48.8584,2.2945,120,This is the description of some data.,https://images.unsplash.com/photo-1502602898657-3e91760cbb34?q=80&w=2073&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
New York,USA,Central Park,Serene,Wanderlust,Hopeful,Neutral,Grateful,40.7851,-73.9683,100,"New York City is a vibrant metropolis in the USA, famous for its landmarks like Central Park, Times Square, and the Statue of Liberty.",https://plus.unsplash.com/premium_photo-1675297104981-2c6feb745838?q=80&w=1925&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Tokyo,Japan,Shibuya Crossing,Excited,Confident,Nervous,Adventurous,Curious,35.6595,139.7004,90,"Tokyo, Japan's bustling capital, is known for its mix of traditional temples and cutting-edge technology, with popular areas like Shibuya.",https://images.unsplash.com/photo-1695011046703-90e1f9f3ba85?q=80&w=2073&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Venice,Italy,Grand Canal,Peaceful,Romantic,Happy,Relieved,Inspired,45.4408,12.3155,130,"Venice is a unique Italian city built on canals, famous for its romantic gondola rides, historic architecture, and the Grand Canal.",https://images.unsplash.com/photo-1662911403928-c51b2e6d3a3d?q=80&w=1888&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rome,Italy,Colosseum,Neutral,Proud,Historic,Excited,Jealous,41.8902,12.4922,110,"Rome, Italy's capital, is rich in history, with iconic landmarks like the Colosseum, the Vatican, and ancient ruins.",https://plus.unsplash.com/premium_photo-1661963952208-2db3512ef3de?q=80&w=1888&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Kyoto,Japan,Fushimi Inari Shrine,Curious,Peaceful,Nostalgic,Hopeful,Culturally Connected,34.9671,135.7727,85,"Kyoto, Japan's cultural capital, is renowned for its classical Buddhist temples, gardens, imperial palaces, and traditional wooden houses.",https://images.unsplash.com/photo-1542767673-ee5103fedbb1?q=80&w=1780&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Cape Town,South Africa,Table Mountain,Hopeful,Adventurous,Proud,Confident,Wanderlust,-33.9628,18.4098,70,"Cape Town, South Africa, is known for its stunning Table Mountain, vibrant cultural scene, and beautiful beaches.",https://images.unsplash.com/photo-1721155227599-bfb5e8913fc4?q=80&w=1931&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rio de Janeiro,Brazil,Christ the Redeemer,In Awe,Grateful,Proud,Happy,Thrilled,-22.9519,-43.2105,80,"Rio de Janeiro, Brazil, is famous for its Copacabana beach, Sugarloaf Mountain, and the annual Carnival festival.",https://images.unsplash.com/photo-1655642272518-05aaf7b8726e?q=80&w=1933&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Santorini,Greece,Oia Sunset,Fearful,Happy,Romantic,Surprised,Serene,36.4618,25.3758,150,"Santorini, a Greek island, is known for its whitewashed buildings with blue domes, stunning sunsets, and volcanic beaches.",https://images.unsplash.com/photo-1612277288801-0d783ca59c42?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
New Delhi,India,India Gate,Jealous,Hopeful,Confident,Neutral,Proud,28.6129,77.2295,60,"New Delhi, India’s capital, combines historic sites like the Red Fort with bustling markets and modern infrastructure.",https://images.unsplash.com/photo-1705861146215-893c716481e7?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Sydney,Australia,Sydney Opera House,Surprised,Grateful,Confident,Proud,Excited,-33.8568,151.2153,140,"Sydney, Australia, is known for its Opera House, Harbour Bridge, beautiful beaches, and vibrant culture.",
Cairo,Egypt,Pyramids of Giza,Disgusted,Neutral,Jealous,Fearful,Historic,29.9792,31.1342,40,"Cairo, the capital of Egypt, is home to the ancient pyramids, the Sphinx, and a rich Islamic heritage.",
